Series;Time;Value
tx;2014-05-29T14:00:00.000Z;3260011.1031741304
tx;2014-05-31T21:50:00.000Z;3270756.0360199003
tx;2014-06-03T05:40:00.000Z;3282738.2856417918
tx;2014-06-05T13:30:00.000Z;3293127.661293533
tx;2014-06-07T21:20:00.000Z;3302118.0792238796
tx;2014-06-10T05:10:00.000Z;3297616.579552237
tx;2014-06-12T13:00:00.000Z;3298045.224189053
tx;2014-06-14T20:50:00.000Z;3305362.753532337
tx;2014-06-17T04:40:00.000Z;3321055.8152238815
tx;2014-06-19T12:30:00.000Z;3331765.4944776115
tx;2014-06-21T20:20:00.000Z;3344065.938736319
tx;2014-06-24T04:10:00.000Z;3356862.251641791
tx;2014-06-26T12:00:00.000Z;3370695.0109154237
tx;2014-06-28T19:50:00.000Z;3381069.8941791034
tx;2014-07-01T03:40:00.000Z;3390635.7809452754
tx;2014-07-03T11:30:00.000Z;3402288.1516417917
tx;2014-07-05T19:20:00.000Z;3417313.9746268634
tx;2014-07-08T03:10:00.000Z;3430224.765373133
tx;2014-07-10T11:00:00.000Z;3438708.7370149265
tx;2014-07-12T18:50:00.000Z;3452150.1171144284
tx;2014-07-15T02:40:00.000Z;3468910.965054726
tx;2014-07-17T10:30:00.000Z;3475103.6834328375
tx;2014-07-19T18:20:00.000Z;3485791.1455223896
tx;2014-07-22T02:10:00.000Z;3498854.6491442774
tx;2014-07-24T10:00:00.000Z;3511794.781960198
tx;2014-07-26T17:50:00.000Z;3524216.472288556
tx;2014-07-29T01:40:00.000Z;3536104.336616916
tx;2014-07-31T09:30:00.000Z;3545340.869004977
tx;2014-08-02T17:20:00.000Z;3556776.1690547266
tx;2014-08-05T01:10:00.000Z;3563770.3308457695
tx;2014-08-07T09:00:00.000Z;3576052.8788557216
tx;2014-08-09T16:50:00.000Z;3591920.652537316
tx;2014-08-12T00:40:00.000Z;3609446.407064679
tx;2014-08-14T08:30:00.000Z;3619554.0364179104
tx;2014-08-16T16:20:00.000Z;3629053.1886069654
tx;2014-08-19T00:10:00.000Z;3651652.875970148
tx;2014-08-21T08:00:00.000Z;3670183.2043283577
tx;2014-08-23T15:50:00.000Z;3684627.667134329
tx;2014-08-25T23:40:00.000Z;3700800.798955224
tx;2014-08-28T07:30:00.000Z;3713931.2105771145
tx;2014-08-30T15:20:00.000Z;3730981.044318407
tx;2014-09-01T23:10:00.000Z;3746781.5932039847
tx;2014-09-04T07:00:00.000Z;3761943.368149254
tx;2014-09-06T14:50:00.000Z;3776611.661213929
tx;2014-09-08T22:40:00.000Z;3756719.8336815885
tx;2014-09-11T06:30:00.000Z;3740362.73437811
tx;2014-09-13T14:20:00.000Z;3761732.9734328347
tx;2014-09-15T22:10:00.000Z;3775517.8929353245
tx;2014-09-18T06:00:00.000Z;3797540.1469154228
tx;2014-09-20T13:50:00.000Z;3814645.347940298
tx;2014-09-22T21:40:00.000Z;3826384.1632835823
tx;2014-09-25T05:30:00.000Z;3839069.0643283576
tx;2014-09-27T13:20:00.000Z;3851826.747412936
tx;2014-09-29T21:10:00.000Z;3861307.2245442183
tx;2014-10-02T05:00:00.000Z;3882274.6718905484
tx;2014-10-04T12:50:00.000Z;3890825.3888888895
tx;2014-10-06T20:40:00.000Z;3905277.108159204
tx;2014-10-09T04:30:00.000Z;3928329.047661691
tx;2014-10-11T12:20:00.000Z;3940096.293482584
tx;2014-10-13T20:10:00.000Z;3943112.539711443
tx;2014-10-16T04:00:00.000Z;3957104.1129452763
tx;2014-10-18T11:50:00.000Z;3974266.064726369
tx;2014-10-20T19:40:00.000Z;3983307.7721890537
tx;2014-10-23T03:30:00.000Z;3992126.0245771143
tx;2014-10-25T11:20:00.000Z;4013366.187860694
tx;2014-10-27T19:10:00.000Z;4035552.6245273626
tx;2014-10-30T03:00:00.000Z;4063837.2447263696
tx;2014-11-01T10:50:00.000Z;4079164.2653233805
tx;2014-11-03T18:40:00.000Z;4093162.2480597026
tx;2014-11-06T02:30:00.000Z;4092530.250845769
tx;2014-11-08T10:20:00.000Z;4086104.639950249
tx;2014-11-10T18:10:00.000Z;4102229.0580597003
tx;2014-11-13T02:00:00.000Z;4114252.9738308466
tx;2014-11-15T09:50:00.000Z;4134456.919502486
tx;2014-11-17T17:40:00.000Z;4148871.3258208963
tx;2014-11-20T01:30:00.000Z;4169218.9202985074
tx;2014-11-22T09:20:00.000Z;4188373.901741294
tx;2014-11-24T17:10:00.000Z;4203953.510845768
tx;2014-11-27T01:00:00.000Z;4224757.805671644
tx;2014-11-29T08:50:00.000Z;4241955.092089552
tx;2014-12-01T16:40:00.000Z;4259515.681373131
tx;2014-12-04T00:30:00.000Z;4276543.198706469
tx;2014-12-06T08:20:00.000Z;4297896.21114428
tx;2014-12-08T16:10:00.000Z;4311629.749900494
tx;2014-12-11T00:00:00.000Z;4326209.61636816
tx;2014-12-13T07:50:00.000Z;4345545.240348256
tx;2014-12-15T15:40:00.000Z;4361154.315373133
tx;2014-12-17T23:30:00.000Z;4374992.876467663
tx;2014-12-20T07:20:00.000Z;4392836.265174128
tx;2014-12-22T15:10:00.000Z;4388285.652388061
tx;2014-12-24T23:00:00.000Z;4395242.788009949
tx;2014-12-27T06:50:00.000Z;4411452.483582092
tx;2014-12-29T14:40:00.000Z;4419978.926965175
tx;2014-12-31T22:30:00.000Z;4435576.270328354
tx;2015-01-03T06:20:00.000Z;4453365.960845771
tx;2015-01-05T14:10:00.000Z;4471362.126218906
tx;2015-01-07T22:00:00.000Z;4498111.346069652
tx;2015-01-10T05:50:00.000Z;4534087.107064677
tx;2015-01-12T13:40:00.000Z;4551500.899492538
tx;2015-01-14T21:30:00.000Z;4567857.254626867
tx;2015-01-17T05:20:00.000Z;4596953.073910449
tx;2015-01-19T13:10:00.000Z;4611899.481343285
tx;2015-01-21T21:00:00.000Z;4620542.7790547265
tx;2015-01-24T04:50:00.000Z;4638920.1814925345
tx;2015-01-26T12:40:00.000Z;4646278.637960199
tx;2015-01-28T20:30:00.000Z;4663282.071144276
tx;2015-01-31T04:20:00.000Z;4683908.932786069
tx;2015-02-02T12:10:00.000Z;4701147.339552238
tx;2015-02-04T20:00:00.000Z;4721086.049104477
tx;2015-02-07T03:50:00.000Z;4738105.532368159
tx;2015-02-09T11:40:00.000Z;4755125.587711443
tx;2015-02-11T19:30:00.000Z;4773101.003233834
tx;2015-02-14T03:20:00.000Z;4795211.923512438
tx;2015-02-16T11:10:00.000Z;4816544.701044779
tx;2015-02-18T19:00:00.000Z;4847146.164328359
tx;2015-02-21T02:50:00.000Z;4871760.455174127
tx;2015-02-23T10:40:00.000Z;4903561.578507462
tx;2015-02-25T18:30:00.000Z;4930837.435323383
tx;2015-02-28T02:20:00.000Z;4942814.968457711
tx;2015-03-02T10:10:00.000Z;4942412.151641793
tx;2015-03-04T18:00:00.000Z;4950257.941840794
tx;2015-03-07T01:50:00.000Z;4963453.424497514
tx;2015-03-09T09:40:00.000Z;4969784.004179104
tx;2015-03-11T17:30:00.000Z;4986926.998258709
tx;2015-03-14T01:20:00.000Z;5007049.404328358
tx;2015-03-16T09:10:00.000Z;5038242.6688123755
tx;2015-03-18T17:00:00.000Z;5037811.231582091
tx;2015-03-21T00:50:00.000Z;5051510.681293534
tx;2015-03-23T08:40:00.000Z;5075559.285024874
tx;2015-03-25T16:30:00.000Z;5102898.233950249
tx;2015-03-28T00:20:00.000Z;5133514.71676617
tx;2015-03-30T08:10:00.000Z;5156073.85721393
tx;2015-04-01T16:00:00.000Z;5189088.695273631
tx;2015-04-03T23:50:00.000Z;5214766.714098693
tx;2015-04-06T07:40:00.000Z;5234716.958980146
tx;2015-04-08T15:30:00.000Z;5259328.586467661
tx;2015-04-10T23:20:00.000Z;5300445.571094527
tx;2015-04-13T07:10:00.000Z;5327461.164129352
tx;2015-04-15T15:00:00.000Z;5350757.625621892
tx;2015-04-17T22:50:00.000Z;5382068.86925373
tx;2015-04-20T06:40:00.000Z;5414231.286417911
tx;2015-04-22T14:30:00.000Z;5434135.288905473
tx;2015-04-24T22:20:00.000Z;5448719.076417911
tx;2015-04-27T06:10:00.000Z;5482300.877462686
tx;2015-04-29T14:00:00.000Z;5504398.063293531
tx;2015-05-01T21:50:00.000Z;5536407.3627860695
tx;2015-05-04T05:40:00.000Z;5564941.836398008
tx;2015-05-06T13:30:00.000Z;5596106.13965174
tx;2015-05-08T21:20:00.000Z;5627910.676169155
tx;2015-05-11T05:10:00.000Z;5639303.933681591
tx;2015-05-13T13:00:00.000Z;5663482.157343283
tx;2015-05-15T20:50:00.000Z;5695733.547412939
tx;2015-05-18T04:40:00.000Z;5711111.990437811
tx;2015-05-20T12:30:00.000Z;5735471.473731341
tx;2015-05-22T20:20:00.000Z;5759716.56208955
tx;2015-05-25T04:10:00.000Z;5782308.46552239
tx;2015-05-27T12:00:00.000Z;5802028.470567161
tx;2015-05-29T19:50:00.000Z;5848533.923731344
tx;2015-06-01T03:40:00.000Z;5874222.411691541
tx;2015-06-03T11:30:00.000Z;5891490.952437812
tx;2015-06-05T19:20:00.000Z;5924311.481293532
tx;2015-06-08T03:10:00.000Z;5935708.030746267
tx;2015-06-10T11:00:00.000Z;5926121.661144282
tx;2015-06-12T18:50:00.000Z;5940043.682447761
tx;2015-06-15T02:40:00.000Z;5960552.420557218
tx;2015-06-17T10:30:00.000Z;5976044.525960196
tx;2015-06-19T18:20:00.000Z;5994978.539850746
tx;2015-06-22T02:10:00.000Z;5996386.098905474
tx;2015-06-24T10:00:00.000Z;6025150.423084577
tx;2015-06-26T17:50:00.000Z;6053565.935621891
tx;2015-06-29T01:40:00.000Z;6079445.597164177
tx;2015-07-01T09:30:00.000Z;6131361.997512438
tx;2015-07-03T17:20:00.000Z;6151926.600746267
tx;2015-07-06T01:10:00.000Z;6226005.855820897
tx;2015-07-08T09:00:00.000Z;6399723.252437811
tx;2015-07-10T16:50:00.000Z;6589258.186368161
tx;2015-07-13T00:40:00.000Z;6771885.485970149
tx;2015-07-15T08:30:00.000Z;6792431.675124379
tx;2015-07-17T16:20:00.000Z;6832106.612139302
tx;2015-07-20T00:10:00.000Z;6796471.051393034
tx;2015-07-22T08:00:00.000Z;6798710.074726368
tx;2015-07-24T15:50:00.000Z;6812621.531641791
tx;2015-07-26T23:40:00.000Z;6831614.398507464
tx;2015-07-29T07:30:00.000Z;6886121.9862189
tx;2015-07-31T15:20:00.000Z;6788984.630945276
tx;2015-08-02T23:10:00.000Z;6783682.622487566
tx;2015-08-05T07:00:00.000Z;6837224.542885568
tx;2015-08-07T14:50:00.000Z;6868332.506467664
tx;2015-08-09T22:40:00.000Z;6864845.692696512
tx;2015-08-12T06:30:00.000Z;6872447.326069646
tx;2015-08-14T14:20:00.000Z;6891039.171870649
tx;2015-08-16T22:10:00.000Z;6907729.36920398
tx;2015-08-19T06:00:00.000Z;6917862.261492537
tx;2015-08-21T13:50:00.000Z;6948043.978855726
tx;2015-08-23T21:40:00.000Z;6966304.091890548
tx;2015-08-26T05:30:00.000Z;6997321.418159207
tx;2015-08-28T13:20:00.000Z;7029733.26268657
tx;2015-08-30T21:10:00.000Z;7045129.692786069
tx;2015-09-02T05:00:00.000Z;7092950.226368161
tx;2015-09-04T12:50:00.000Z;7125631.797562188
tx;2015-09-06T20:40:00.000Z;7144834.800398015
tx;2015-09-09T04:30:00.000Z;7170417.000497513
tx;2015-09-11T12:20:00.000Z;7256691.772835817
tx;2015-09-13T20:10:00.000Z;7321215.172985072
tx;2015-09-16T04:00:00.000Z;7342492.869751249
tx;2015-09-18T11:50:00.000Z;7335394.266218905
tx;2015-09-20T19:40:00.000Z;7332042.649353231
tx;2015-09-23T03:30:00.000Z;7298515.16178109
tx;2015-09-25T11:20:00.000Z;7294836.135472638
tx;2015-09-27T19:10:00.000Z;7283878.947064677
tx;2015-09-30T03:00:00.000Z;7273027.662437818
tx;2015-10-02T10:50:00.000Z;7299945.106567162
tx;2015-10-04T18:40:00.000Z;7321608.731641792
tx;2015-10-07T02:30:00.000Z;7327621.324477611
tx;2015-10-09T10:20:00.000Z;7349911.018467663
tx;2015-10-11T18:10:00.000Z;7368845.630895522
tx;2015-10-14T02:00:00.000Z;7382991.319353238
tx;2015-10-16T09:50:00.000Z;7392416.886069656
tx;2015-10-18T17:40:00.000Z;7397449.758905469
tx;2015-10-21T01:30:00.000Z;7390898.768126891
tx;2015-10-23T09:20:00.000Z;7399079.256666662
tx;2015-10-25T17:10:00.000Z;7385342.986557212
tx;2015-10-28T01:00:00.000Z;7375107.904666663
tx;2015-10-30T08:50:00.000Z;7384709.938796021
tx;2015-11-01T16:40:00.000Z;7408325.4129850725
tx;2015-11-04T00:30:00.000Z;7410384.062218905
tx;2015-11-06T08:20:00.000Z;7421291.4983084565
tx;2015-11-08T16:10:00.000Z;7436142.430049751
tx;2015-11-11T00:00:00.000Z;7450294.590746265
tx;2015-11-13T07:50:00.000Z;7506855.630447759
tx;2015-11-15T15:40:00.000Z;7549095.538318406
tx;2015-11-17T23:30:00.000Z;7571486.096417912
tx;2015-11-20T07:20:00.000Z;7625006.423074627
tx;2015-11-22T15:10:00.000Z;7631075.128358216
tx;2015-11-24T23:00:00.000Z;7656617.244328355
tx;2015-11-27T06:50:00.000Z;7674074.991542296
tx;2015-11-29T14:40:00.000Z;7707958.908656715
tx;2015-12-01T22:30:00.000Z;7734286.239621893
tx;2015-12-04T06:20:00.000Z;7743745.694776117
tx;2015-12-06T14:10:00.000Z;7776145.708776127
tx;2015-12-08T22:00:00.000Z;7811830.1218407955
tx;2015-12-11T05:50:00.000Z;7868149.026766168
tx;2015-12-13T13:40:00.000Z;7905663.84273632
tx;2015-12-15T21:30:00.000Z;7954226.561363189
tx;2015-12-18T05:20:00.000Z;8022193.570398013
tx;2015-12-20T13:10:00.000Z;8101844.3379104445
tx;2015-12-22T21:00:00.000Z;8163866.059552236
tx;2015-12-25T04:50:00.000Z;8247684.0838806
tx;2015-12-27T12:40:00.000Z;8274225.841741293
tx;2015-12-29T20:30:00.000Z;8284474.700547264
tx;2016-01-01T04:20:00.000Z;8315273.737164177
tx;2016-01-03T12:10:00.000Z;8342855.560298508
tx;2016-01-05T20:00:00.000Z;8366902.18363185
tx;2016-01-08T03:50:00.000Z;8391781.749253724
tx;2016-01-10T11:40:00.000Z;8424047.69905473
tx;2016-01-12T19:30:00.000Z;8455289.602388065
tx;2016-01-15T03:20:00.000Z;8489646.577014921
tx;2016-01-17T11:10:00.000Z;8539539.8217413
tx;2016-01-19T19:00:00.000Z;8475019.725820899
tx;2016-01-22T02:50:00.000Z;8488621.341741294
tx;2016-01-24T10:40:00.000Z;8543255.513880594
tx;2016-01-26T18:30:00.000Z;8578832.421383085
tx;2016-01-29T02:20:00.000Z;8584662.214477615
tx;2016-01-31T10:10:00.000Z;8552385.619353231
tx;2016-02-02T18:00:00.000Z;8395692.833751246
tx;2016-02-05T01:50:00.000Z;8432937.946218904
tx;2016-02-07T09:40:00.000Z;8539624.654368155
tx;2016-02-09T17:30:00.000Z;8609785.477363186
tx;2016-02-12T01:20:00.000Z;8641029.48695523
tx;2016-02-14T09:10:00.000Z;8699250.494179105
tx;2016-02-16T17:00:00.000Z;8756644.99089552
tx;2016-02-19T00:50:00.000Z;8812314.911442788
tx;2016-02-21T08:40:00.000Z;8881490.65441791
tx;2016-02-23T16:30:00.000Z;8948315.059054729
tx;2016-02-26T00:20:00.000Z;8961096.831393039
tx;2016-02-28T08:10:00.000Z;9042889.270298513
tx;2016-03-01T16:00:00.000Z;9104575.701860702
tx;2016-03-03T23:50:00.000Z;9041066.912338313
tx;2016-03-06T07:40:00.000Z;9036727.999791041
tx;2016-03-08T15:30:00.000Z;9015691.725114422
tx;2016-03-10T23:20:00.000Z;9025096.372636814
tx;2016-03-13T07:10:00.000Z;9054233.138855724
tx;2016-03-15T15:00:00.000Z;9102826.360646766
tx;2016-03-17T22:50:00.000Z;9183998.124696517
tx;2016-03-20T06:40:00.000Z;9259878.706119403
tx;2016-03-22T14:30:00.000Z;9324501.711890545
tx;2016-03-24T22:20:00.000Z;9357449.60930347
tx;2016-03-27T06:10:00.000Z;9331603.172338303
tx;2016-03-29T14:00:00.000Z;9174462.541641796
tx;2016-03-31T21:50:00.000Z;9162815.989840794
tx;2016-04-03T05:40:00.000Z;9137216.409601986
tx;2016-04-05T13:30:00.000Z;9175502.447492538
tx;2016-04-07T21:20:00.000Z;9263880.816756215
tx;2016-04-10T05:10:00.000Z;9340228.475621887
